id,customer_id,transaction_ts,amount
410,819,2022-10-10T22:33:25,"$7,402.14"
512,227,2022-10-10T14:03:25,$155.64
762,779,2022-10-11T20:25:35,$92.92
113,766,2022-10-10T09:06:27,"$7,855.69"
233,486,2022-10-10T04:23:35,$70.06
774,450,2022-10-09T16:11:45,$4.48
819,690,2022-10-09T13:54:58,$347.51
818,375,2022-10-10T13:47:55,$29.38
424,491,2022-10-10T12:25:05,"$8,255.89"
607,380,2022-10-11T17:10:20,$4.14
326,591,2022-10-10T14:21:24,$178.50
465,30,2022-10-11T16:58:22,$51.34
36,128,2022-10-10T19:10:06,"$7,667.95"
556,473,2022-10-12T01:02:03,$450.19
187,745,2022-10-12T03:35:14,$97.07
16,763,2022-10-10T12:03:29,"$7,700.70"
515,48,2022-10-09T23:58:41,$8.55
513,542,2022-10-10T07:29:41,"$16,385.61"
792,395,2022-10-10T20:02:41,"$72,692.33"
554,38,2022-10-10T18:45:29,$66.90
291,184,2022-10-09T12:41:17,"$6,320.76"
358,399,2022-10-12T07:50:18,$298.78
461,833,2022-10-11T07:03:47,$9.79
886,213,2022-10-10T11:47:58,$850.33
436,863,2022-10-09T19:53:44,$6.41
101,310,2022-10-11T07:50:37,"$7,084.74"
89,328,2022-10-10T20:53:25,$77.98
612,184,2022-10-11T03:24:42,$111.68
705,41,2022-10-11T23:30:11,"$22,428.47"
717,105,2022-10-10T07:47:52,$874.92
808,852,2022-10-11T14:59:26,$4.55
673,633,2022-10-10T06:02:08,$5.33
798,153,2022-10-09T11:11:37,$47.99
850,528,2022-10-11T03:55:39,$695.91
132,302,2022-10-12T08:57:16,"$7,134.35"
822,880,2022-10-10T08:46:31,$659.86
309,604,2022-10-10T08:04:15,"$10,716.19"
858,334,2022-10-09T19:32:40,$8.58
586,568,2022-10-09T11:48:11,$81.74
501,541,2022-10-12T03:04:07,"$14,271.79"
761,297,2022-10-10T15:06:23,"$5,092.50"
6,785,2022-10-10T21:20:39,"$45,736.01"
468,181,2022-10-10T03:05:19,"$82,179.61"
329,788,2022-10-10T18:18:19,"$2,119.46"
196,756,2022-10-10T14:57:01,"$1,020.23"
432,405,2022-10-09T12:32:32,"$6,592.80"
760,627,2022-10-10T19:59:50,$10.01
257,607,2022-10-11T20:48:57,$0.02
537,711,2022-10-10T08:31:21,$733.58
183,816,2022-10-11T01:33:04,$864.00
390,675,2022-10-12T07:39:22,"$29,790.46"
87,154,2022-10-11T04:52:46,"$4,870.84"
382,395,2022-10-10T10:58:19,$62.28
791,81,2022-10-12T05:38:14,"$3,744.89"
305,425,2022-10-11T19:55:02,$71.74
99,411,2022-10-11T22:47:55,"$8,448.13"
68,47,2022-10-09T11:42:50,$79.87
189,606,2022-10-12T01:20:12,"$73,888.80"
877,696,2022-10-11T23:34:09,$8.78
456,363,2022-10-11T00:21:48,$61.38
892,631,2022-10-12T09:10:35,"$89,384.80"
482,723,2022-10-12T02:44:42,$8.06
62,175,2022-10-09T11:04:28,$2.60
496,382,2022-10-11T12:29:41,$928.09
437,610,2022-10-11T18:43:41,"$9,916.94"
603,36,2022-10-11T10:22:52,"$3,598.77"
855,700,2022-10-11T16:00:37,"$73,028.01"
214,825,2022-10-10T22:26:24,"$63,246.28"
425,837,2022-10-11T00:15:40,"$7,843.40"
678,448,2022-10-12T05:32:34,"$1,003.44"
441,721,2022-10-11T14:23:46,$55.13
796,43,2022-10-10T08:53:11,$687.32
366,753,2022-10-10T13:40:58,"$4,291.71"
33,5,2022-10-11T15:27:19,$892.56
431,116,2022-10-11T09:02:21,"$3,969.42"
14,411,2022-10-09T16:06:13,"$18,056.04"
829,564,2022-10-11T18:01:29,$932.16
823,208,2022-10-11T03:59:00,"$4,287.88"
471,5,2022-10-10T16:55:48,$881.30
454,542,2022-10-11T20:31:13,$431.37
477,889,2022-10-09T14:59:27,$45.49
84,792,2022-10-10T09:52:52,$641.88
622,725,2022-10-12T07:32:58,$75.47
740,685,2022-10-11T21:21:52,"$60,394.02"
632,236,2022-10-12T05:44:36,$176.99
172,804,2022-10-10T21:16:42,$45.61
797,878,2022-10-10T19:50:53,$2.10
56,86,2022-10-10T09:26:40,"$70,241.38"
510,747,2022-10-09T10:13:45,$6.30
378,194,2022-10-11T16:04:09,$47.12
7,302,2022-10-11T09:39:47,$703.20
9,390,2022-10-10T14:34:38,"$19,489.73"
626,619,2022-10-10T03:33:29,$11.25
815,71,2022-10-09T17:13:53,"$90,998.80"
534,7,2022-10-09T13:25:39,"$63,876.90"
562,361,2022-10-09T17:00:34,$92.10
250,443,2022-10-11T16:13:20,$7.58
804,824,2022-10-11T16:21:16,"$78,297.83"
171,188,2022-10-11T21:13:50,$11.02
124,35,2022-10-11T15:23:33,"$20,780.69"
