[2022-10-25T16:01:16.761+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: enriched_data_aggregations.load_and_generate_aggregations manual__2022-10-25T16:01:15.164211+00:00 [queued]>
[2022-10-25T16:01:16.797+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: enriched_data_aggregations.load_and_generate_aggregations manual__2022-10-25T16:01:15.164211+00:00 [queued]>
[2022-10-25T16:01:16.801+0000] {taskinstance.py:1362} INFO - 
--------------------------------------------------------------------------------
[2022-10-25T16:01:16.802+0000] {taskinstance.py:1363} INFO - Starting attempt 1 of 2
[2022-10-25T16:01:16.803+0000] {taskinstance.py:1364} INFO - 
--------------------------------------------------------------------------------
[2022-10-25T16:01:16.863+0000] {taskinstance.py:1383} INFO - Executing <Task(PythonOperator): load_and_generate_aggregations> on 2022-10-25 16:01:15.164211+00:00
[2022-10-25T16:01:16.878+0000] {standard_task_runner.py:54} INFO - Started process 6315 to run task
[2022-10-25T16:01:16.889+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'enriched_data_aggregations', 'load_and_generate_aggregations', 'manual__2022-10-25T16:01:15.164211+00:00', '--job-id', '608', '--raw', '--subdir', 'DAGS_FOLDER/data_agg.py', '--cfg-path', '/tmp/tmpw8v9muth']
[2022-10-25T16:01:16.892+0000] {standard_task_runner.py:83} INFO - Job 608: Subtask load_and_generate_aggregations
[2022-10-25T16:01:16.895+0000] {dagbag.py:525} INFO - Filling up the DagBag from /opt/***/dags/data_agg.py
[2022-10-25T16:01:17.082+0000] {task_command.py:384} INFO - Running <TaskInstance: enriched_data_aggregations.load_and_generate_aggregations manual__2022-10-25T16:01:15.164211+00:00 [running]> on host faf467258cbc
[2022-10-25T16:01:17.473+0000] {taskinstance.py:1592} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=enriched_data_aggregations
AIRFLOW_CTX_TASK_ID=load_and_generate_aggregations
AIRFLOW_CTX_EXECUTION_DATE=2022-10-25T16:01:15.164211+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2022-10-25T16:01:15.164211+00:00
[2022-10-25T16:01:36.166+0000] {pyspark_scripts.py:280} INFO - Working in  - Count and sum amount transactions for each type for day, online & offline - 
[2022-10-25T16:01:44.375+0000] {logging_mixin.py:117} INFO - +----+----------+------------------+------------------+
|type| timestamp|total_transactions|             total|
+----+----------+------------------+------------------+
|   1|2022-10-18|                61| 507991.0391418934|
|   1|2022-10-16|                53| 700808.0932190418|
|   1|2022-10-17|                76|   743105.56246683|
|   1|2022-10-14|                 5| 43581.95984840393|
|   1|2022-10-19|                41|447119.28963682055|
|   1|2022-10-15|                42| 396011.5203142166|
|   0|2022-10-15|                28|200619.65025949478|
|   0|2022-10-19|                33|  334082.739716053|
|   0|2022-10-14|                 4|10908.220190405846|
|   0|2022-10-18|                73| 711971.9824458361|
|   0|2022-10-17|                74|  967004.781076014|
|   0|2022-10-16|                44|  441278.333201766|
+----+----------+------------------+------------------+
[2022-10-25T16:01:44.550+0000] {pyspark_scripts.py:284} INFO - Working in - Count and sum transaction for each store for day -
[2022-10-25T16:01:46.862+0000] {logging_mixin.py:117} INFO - +--------+----------+-----+------------------+
|store_id| timestamp|count|             total|
+--------+----------+-----+------------------+
|       1|2022-10-18|    5|26694.120134592056|
|       1|2022-10-17|    8| 74503.69727653265|
|       1|2022-10-14|    2| 8732.340240478516|
|       1|2022-10-16|    5| 28528.77098608017|
|       1|2022-10-19|    3|3965.9901146888733|
|       1|2022-10-15|    4| 71358.74953842163|
|       2|2022-10-18|    9| 61672.43766403198|
|       2|2022-10-17|   13|123728.43347072601|
|       2|2022-10-16|    3|13648.309883117676|
|       2|2022-10-19|    5| 33187.78938770294|
|       2|2022-10-15|    2|6053.1500244140625|
|       3|2022-10-16|    6| 99256.83782482147|
|       3|2022-10-18|    7|11542.599944353104|
|       3|2022-10-14|    1|31.979999542236328|
|       3|2022-10-17|   16| 120656.0089070797|
|       3|2022-10-15|    3|2347.5299072265625|
|       4|2022-10-19|    4|59564.960388183594|
|       4|2022-10-15|    3|2382.7900161743164|
|       4|2022-10-14|    1|    43239.58984375|
|       4|2022-10-18|   10|231133.82813596725|
|       4|2022-10-16|    4| 9366.450058937073|
|       4|2022-10-17|    7| 69016.99249219894|
|       5|2022-10-19|    3|  941.790030002594|
|       5|2022-10-15|    4| 56358.82077789307|
|       5|2022-10-16|    3|11537.830085754395|
|       5|2022-10-18|    4| 52.77000093460083|
|       5|2022-10-17|    7| 88217.62379646301|
|       5|2022-10-14|    1| 6.579999923706055|
|       6|2022-10-17|   10|63620.079963088036|
|       6|2022-10-18|    2| 9483.869687080383|
|       6|2022-10-19|    5| 85174.67179703712|
|       6|2022-10-15|    1| 56.36000061035156|
|       6|2022-10-16|    6| 143660.1111755371|
