id,customer_id,transaction_ts,amount
626,680,2022-10-03 09:06:42,"$20,339.45"
325,851,2022-10-04 18:12:23,$71.47
613,288,2022-10-03 21:42:16,$988.37
170,689,2022-10-03 08:34:01,"$4,249.06"
866,371,2022-10-04 05:43:48,"$3,146.52"
280,509,2022-10-03 11:34:32,"$30,407.53"
830,210,2022-10-04 15:19:42,$73.33
242,170,2022-10-02 14:11:59,"$8,151.78"
240,571,2022-10-04 08:19:08,$125.38
199,666,2022-10-03 20:20:26,"$12,611.06"
249,796,2022-10-03 19:17:45,"$23,476.67"
528,881,2022-10-05 00:11:31,$207.13
671,753,2022-10-05 11:43:50,$566.06
308,295,2022-10-03 19:56:15,$9.41
226,310,2022-10-03 14:23:16,$107.21
816,683,2022-10-04 22:16:42,"$8,078.37"
534,53,2022-10-02 15:00:16,"$2,796.26"
781,848,2022-10-05 11:22:41,$20.63
691,519,2022-10-03 21:06:23,$417.90
414,52,2022-10-04 16:07:52,$50.11
460,52,2022-10-03 03:00:21,"$1,517.44"
756,125,2022-10-05 06:41:24,"$72,918.43"
379,229,2022-10-02 19:10:03,"$49,262.72"
424,891,2022-10-03 12:45:04,$734.20
237,362,2022-10-03 22:50:00,"$6,350.88"
343,893,2022-10-05 08:36:28,$9.29
419,541,2022-10-03 06:07:04,$757.13
398,678,2022-10-04 10:25:06,$0.67
230,135,2022-10-04 02:20:57,"$56,969.13"
694,221,2022-10-05 05:45:14,$613.15
33,191,2022-10-03 05:58:39,"$2,917.29"
826,228,2022-10-03 06:28:18,"$3,486.91"
679,423,2022-10-04 20:55:32,"$22,232.93"
288,756,2022-10-04 00:58:10,"$2,626.56"
341,442,2022-10-03 22:45:02,$188.14
628,709,2022-10-03 07:12:31,"$18,344.42"
54,423,2022-10-03 00:17:35,$79.18
555,268,2022-10-05 05:34:39,"$48,620.80"
445,813,2022-10-04 19:23:19,"$7,341.87"
836,316,2022-10-03 01:38:03,"$59,665.01"
383,389,2022-10-04 22:50:10,$82.44
598,396,2022-10-03 12:02:48,"$72,402.01"
550,537,2022-10-05 10:47:53,$5.56
444,361,2022-10-02 16:33:55,$8.35
276,99,2022-10-04 20:39:11,"$13,469.52"
559,89,2022-10-04 15:47:47,"$20,344.56"
761,652,2022-10-04 20:20:26,$425.28
358,656,2022-10-02 23:59:20,$6.60
705,87,2022-10-03 11:58:10,$61.52
623,641,2022-10-03 15:05:04,$6.13
633,691,2022-10-03 14:36:35,$82.76
17,530,2022-10-02 15:00:14,"$65,981.69"
315,753,2022-10-03 09:12:15,"$55,575.70"
890,472,2022-10-04 00:11:07,$9.38
701,408,2022-10-05 12:18:57,"$27,460.40"
83,13,2022-10-05 00:28:50,"$4,171.11"
881,367,2022-10-05 07:22:57,$375.75
500,873,2022-10-03 11:52:49,"$10,513.60"
18,363,2022-10-03 12:56:18,$654.36
539,480,2022-10-02 16:23:42,"$52,058.45"
666,617,2022-10-05 08:56:02,$115.50
41,840,2022-10-02 19:11:14,$81.96
668,876,2022-10-03 05:48:02,$0.63
611,196,2022-10-05 07:19:21,$583.06
544,594,2022-10-02 14:20:34,"$65,182.95"
893,699,2022-10-03 17:58:18,$216.84
219,308,2022-10-04 20:44:06,$8.29
459,358,2022-10-03 02:52:32,$709.30
222,2,2022-10-02 18:46:05,$382.70
482,106,2022-10-03 03:48:50,"$7,042.53"
658,110,2022-10-02 13:43:54,$186.95
854,404,2022-10-04 08:57:35,$22.96
788,736,2022-10-03 13:06:28,"$19,425.80"
129,837,2022-10-03 10:40:03,$27.51
734,291,2022-10-04 22:42:00,"$53,224.48"
851,409,2022-10-04 12:17:51,$41.00
337,286,2022-10-04 07:12:48,"$8,535.49"
43,405,2022-10-05 05:53:04,$91.78
12,705,2022-10-03 02:41:43,$37.96
849,305,2022-10-03 00:04:06,"$2,595.04"
447,383,2022-10-04 21:50:34,"$41,071.09"
524,601,2022-10-03 12:21:37,$4.16
803,211,2022-10-05 05:16:16,$414.29
634,753,2022-10-05 11:36:34,"$8,806.84"
778,39,2022-10-03 15:09:37,"$8,278.52"
556,808,2022-10-04 11:57:27,$6.85
678,740,2022-10-04 14:40:36,"$99,439.55"
617,331,2022-10-04 06:41:17,$11.43
875,680,2022-10-04 21:20:57,$79.78
59,671,2022-10-04 01:40:54,"$7,849.37"
526,35,2022-10-04 16:10:51,$1.21
508,64,2022-10-05 04:13:04,"$9,997.73"
58,462,2022-10-02 20:56:17,$115.29
741,576,2022-10-02 12:58:01,"$8,222.15"
688,488,2022-10-05 04:40:34,"$35,858.27"
593,846,2022-10-04 16:19:48,"$8,504.85"
609,759,2022-10-03 22:08:51,$41.25
285,607,2022-10-04 03:13:54,$6.33
299,387,2022-10-04 04:36:48,"$3,098.35"
218,329,2022-10-04 16:49:12,$381.18
