id,customer_id,transaction_ts,amount
329,834,2022-10-03 07:04:41,"$7,946.15"
593,511,2022-09-30 15:52:16,$0.14
399,106,2022-10-02 16:50:15,$8.80
496,15,2022-10-02 11:56:02,$94.76
17,865,2022-10-03 06:36:50,$834.31
677,791,2022-10-01 21:54:38,"$5,885.03"
127,53,2022-10-01 05:31:38,"$9,117.86"
629,441,2022-10-02 17:50:04,$379.96
142,386,2022-10-03 04:25:02,$3.95
752,530,2022-10-02 21:02:32,"$86,170.73"
117,123,2022-09-30 16:09:27,$67.56
188,134,2022-10-03 06:58:07,"$33,515.66"
32,779,2022-10-03 11:51:13,$657.09
574,326,2022-10-03 06:52:25,$870.84
122,313,2022-10-01 12:51:34,$12.51
858,597,2022-10-01 15:30:48,$214.21
512,401,2022-10-02 12:01:20,$404.07
732,70,2022-09-30 13:27:02,"$50,338.54"
6,240,2022-10-01 16:00:21,$26.04
729,610,2022-10-03 07:15:45,$7.68
806,567,2022-09-30 12:33:12,$8.61
851,862,2022-10-03 06:51:32,$7.70
33,225,2022-09-30 20:53:23,"$8,621.93"
452,507,2022-10-01 09:09:43,"$4,397.79"
878,874,2022-10-02 15:33:48,$6.00
669,526,2022-10-01 08:46:07,$872.12
419,518,2022-09-30 23:19:20,"$68,740.89"
655,890,2022-09-30 23:28:32,"$4,114.18"
776,69,2022-10-02 06:58:48,"$75,057.37"
838,377,2022-09-30 21:37:51,$76.00
58,50,2022-10-03 10:03:19,"$42,763.98"
608,157,2022-09-30 13:39:22,$608.28
94,293,2022-09-30 23:35:06,$5.51
442,291,2022-10-03 09:52:55,"$4,884.78"
739,865,2022-10-02 17:46:19,$6.83
152,498,2022-10-03 10:34:59,$795.57
74,289,2022-10-01 15:09:05,$75.58
367,806,2022-10-03 03:44:49,$8.99
239,454,2022-10-01 00:01:59,$8.21
256,723,2022-10-03 05:04:27,$9.11
596,637,2022-10-03 06:17:28,$5.29
846,531,2022-09-30 13:37:57,$4.63
707,1,2022-10-01 00:50:43,"$2,996.70"
184,267,2022-10-03 00:21:07,"$3,476.27"
346,356,2022-10-01 03:32:24,$55.58
631,46,2022-10-02 00:07:48,$75.12
451,465,2022-10-03 07:55:14,$68.79
653,210,2022-10-01 05:11:49,"$41,975.77"
420,263,2022-10-03 10:53:37,$68.45
564,565,2022-10-02 03:35:40,$37.93
833,283,2022-09-30 16:29:50,$2.33
590,704,2022-10-03 00:26:20,"$48,373.46"
607,65,2022-10-03 11:23:05,$72.76
341,20,2022-10-01 03:59:32,"$8,359.39"
889,175,2022-09-30 20:14:05,$386.97
731,429,2022-10-01 07:06:41,"$48,573.06"
262,164,2022-10-01 21:28:44,$64.12
576,458,2022-10-03 03:11:10,$3.74
831,729,2022-10-02 11:04:06,$4.56
829,84,2022-09-30 22:36:56,"$2,128.38"
720,434,2022-10-01 04:46:08,"$1,583.00"
582,468,2022-10-03 11:46:13,"$14,071.04"
786,679,2022-10-01 11:26:23,$8.52
220,255,2022-10-02 16:10:19,$1.57
538,246,2022-10-02 18:17:46,$6.56
792,313,2022-09-30 17:23:05,$89.02
106,644,2022-10-02 09:23:36,"$7,543.87"
343,158,2022-10-01 21:12:40,"$13,758.82"
315,868,2022-10-02 11:56:35,"$77,064.10"
543,492,2022-10-03 10:54:19,"$86,104.44"
336,872,2022-10-01 20:19:46,$284.32
489,602,2022-10-02 22:43:40,"$76,675.25"
855,193,2022-09-30 22:04:17,$10.14
88,462,2022-10-01 01:55:42,$618.51
78,753,2022-09-30 23:21:35,$889.83
129,202,2022-10-01 08:47:04,"$59,097.61"
526,263,2022-10-02 12:30:46,$43.15
777,110,2022-10-02 16:22:09,"$42,952.75"
38,141,2022-10-03 10:34:35,$6.09
180,119,2022-10-01 22:19:10,"$6,628.36"
558,805,2022-10-03 07:23:13,"$7,753.15"
71,250,2022-10-03 05:45:32,$513.64
100,360,2022-10-01 07:54:12,$309.26
750,12,2022-10-01 04:41:19,"$32,245.42"
75,358,2022-10-01 02:27:50,$287.98
738,823,2022-09-30 17:53:04,"$96,221.69"
252,256,2022-09-30 22:13:53,$997.43
609,531,2022-10-01 13:42:23,$87.46
685,708,2022-10-01 08:38:04,"$7,824.90"
175,877,2022-10-02 20:02:06,"$4,116.77"
835,363,2022-09-30 14:06:43,$4.89
769,87,2022-09-30 14:30:58,"$5,056.53"
532,836,2022-10-01 23:45:29,$88.82
282,642,2022-10-02 02:01:30,"$1,726.14"
373,162,2022-10-02 18:59:57,$7.45
839,146,2022-10-01 04:28:35,$299.81
514,132,2022-09-30 18:15:53,$790.50
743,416,2022-09-30 13:56:27,$24.97
513,868,2022-10-02 09:37:11,$0.03
841,868,2022-10-01 21:00:03,$709.52
